,country_code,postal_code,latitude,longitude,region_id
172,swe,11560,59.34379910000001,18.1118038,Östermalm::Stockholm
173,swe,11593,59.3290046,18.0942839,Östermalm::Stockholm
174,swe,11620,59.3173323,18.0774194,Södermalm::Stockholm
175,swe,11621,59.31552780000001,18.0783303,Södermalm::Stockholm
176,swe,11622,59.3183437,18.0807468,Södermalm::Stockholm
177,swe,11623,59.3125021,18.0760798,Södermalm::Stockholm
178,swe,11624,59.3131745,18.07658,Södermalm::Stockholm
179,swe,11625,59.3159875,18.0764191,Södermalm::Stockholm
180,swe,11628,59.3181016,18.0902238,Södermalm::Stockholm
181,swe,11629,59.31471440000001,18.0833575,Södermalm::Stockholm
182,swe,11630,59.3156702,18.0942083,Södermalm::Stockholm
183,swe,11631,59.3114214,18.0862176,Södermalm::Stockholm
184,swe,11632,59.314452,18.0936232,Södermalm::Stockholm
185,swe,11633,59.31377189999999,18.0853919,Södermalm::Stockholm
186,swe,11634,59.31365819999999,18.097861,Södermalm::Stockholm
187,swe,11635,59.3128091,18.0882159,Södermalm::Stockholm
188,swe,11636,59.3141967,18.0902142,Södermalm::Stockholm
189,swe,11637,59.31242160000001,18.0792381,Södermalm::Stockholm
190,swe,11638,59.31045859999999,18.0890415,Södermalm::Stockholm
191,swe,11639,59.3102435,18.0840539,Södermalm::Stockholm
192,swe,11640,59.31196459999999,18.0837255,Södermalm::Stockholm
193,swe,11641,59.3114746,18.0975225,Södermalm::Stockholm
194,swe,11642,59.3092808,18.0868778,Södermalm::Stockholm
195,swe,11643,59.3073551,18.0925245,Södermalm::Stockholm
196,swe,11646,59.3185448,18.0728496,Södermalm::Stockholm
197,swe,11647,59.3093768,18.0991795,Södermalm::Stockholm
198,swe,11648,59.310906,18.0956507,Södermalm::Stockholm
199,swe,11661,59.30814040000001,18.0805588,Södermalm::Stockholm
200,swe,11662,59.31065450000001,18.0759929,Södermalm::Stockholm
201,swe,11663,59.3092322,18.0807274,Södermalm::Stockholm
202,swe,11664,59.3074681,18.0800588,Södermalm::Stockholm
203,swe,11665,59.3096489,18.0778194,Södermalm::Stockholm
204,swe,11666,59.3079362,18.0858772,Södermalm::Stockholm
205,swe,11667,59.30675269999999,18.0785613,Södermalm::Stockholm
206,swe,11668,59.3057526,18.0855397,Södermalm::Stockholm
207,swe,11726,59.3169608,18.0488263,Södermalm::Stockholm
208,swe,11727,59.3188049,18.0463351,Södermalm::Stockholm
209,swe,11728,59.3176261,18.044173,Södermalm::Stockholm
210,swe,11729,59.31825159999999,18.0410986,Södermalm::Stockholm
211,swe,11730,59.3179512,18.0366939,Södermalm::Stockholm
212,swe,11731,59.3186634,18.0356141,Södermalm::Stockholm
213,swe,11732,59.3198462,18.040352,Södermalm::Stockholm
214,swe,11733,59.32239069999999,18.0290507,Södermalm::Stockholm
215,swe,11734,59.3163132,18.0364434,Södermalm::Stockholm
216,swe,11735,59.3167248,18.0309594,Södermalm::Stockholm
217,swe,11736,59.3174805,18.0308767,Södermalm::Stockholm
218,swe,11737,59.31781279999999,18.0285502,Södermalm::Stockholm
219,swe,11750,59.3189319,18.0194101,Södermalm::Stockholm
220,swe,11756,59.3036688,18.0325306,Hägersten-Liljeholmen::Stockholm
221,swe,11758,59.3076962,18.0303731,Hägersten-Liljeholmen::Stockholm
222,swe,11759,59.30601069999999,18.0265514,Hägersten-Liljeholmen::Stockholm
223,swe,11760,59.3085567,18.0290851,Hägersten-Liljeholmen::Stockholm
224,swe,11762,59.30390569999999,18.0230621,Hägersten-Liljeholmen::Stockholm
225,swe,11763,59.30860560000001,18.021402,Hägersten-Liljeholmen::Stockholm
226,swe,11764,59.3082564,18.0134282,Hägersten-Liljeholmen::Stockholm
227,swe,11765,59.3119428,18.008444,Hägersten-Liljeholmen::Stockholm
228,swe,11771,59.3167961,17.9986892,Hägersten-Liljeholmen::Stockholm
229,swe,11775,59.3101728,18.0299589,Hägersten-Liljeholmen::Stockholm
230,swe,11820,59.3203432,18.0667845,Södermalm::Stockholm
231,swe,11821,59.3185059,18.0581784,Södermalm::Stockholm
232,swe,11822,59.31937139999999,18.0618785,Södermalm::Stockholm
233,swe,11823,59.31906499999999,18.0523194,Södermalm::Stockholm
234,swe,11824,59.31996059999999,18.0629599,Södermalm::Stockholm
235,swe,11826,59.3156423,18.068439,Södermalm::Stockholm
236,swe,11827,59.311614,18.0705929,Södermalm::Stockholm
237,swe,11828,59.3142975,18.0674392,Södermalm::Stockholm
238,swe,11829,59.3121569,18.0681005,Södermalm::Stockholm
239,swe,11830,59.3119331,18.0742087,Södermalm::Stockholm
240,swe,11846,59.31849860000001,18.0692752,Södermalm::Stockholm
241,swe,11847,59.3174468,18.0675279,Södermalm::Stockholm
242,swe,11848,59.3179864,18.0624583,Södermalm::Stockholm
243,swe,11849,59.3179366,18.0563075,Södermalm::Stockholm
244,swe,11850,59.3164285,18.0590483,Södermalm::Stockholm
245,swe,11851,59.3169244,18.0529817,Södermalm::Stockholm
246,swe,11852,59.315929,18.0625383,Södermalm::Stockholm
247,swe,11853,59.3151166,18.0513175,Södermalm::Stockholm
248,swe,11854,59.3147506,18.0603754,Södermalm::Stockholm
249,swe,11855,59.3145841,18.0615387,Södermalm::Stockholm
250,swe,11856,59.31006250000001,18.0723352,Södermalm::Stockholm
251,swe,11857,59.31030930000001,18.0680142,Södermalm::Stockholm
252,swe,11858,59.3092637,18.0714195,Södermalm::Stockholm
253,swe,11859,59.3063213,18.068589,Södermalm::Stockholm
254,swe,11862,59.30889029999999,18.0753247,Södermalm::Stockholm
255,swe,11863,59.313106,18.0549714,Södermalm::Stockholm
256,swe,11864,59.3131127,18.0601238,Södermalm::Stockholm
257,swe,11865,59.31256999999999,18.062616,Södermalm::Stockholm
258,swe,11866,59.3116446,18.0612852,Södermalm::Stockholm
259,swe,11867,59.30865169999999,18.0523067,Södermalm::Stockholm
260,swe,11869,59.31042949999999,18.0632776,Södermalm::Stockholm
261,swe,11872,59.31558219999999,18.0708077,Södermalm::Stockholm
262,swe,12031,59.3057629,18.0958451,Södermalm::Stockholm
263,swe,12038,59.2980063,18.0669125,Enskede-Årsta-Vantör::Årsta
264,swe,12039,59.2999432,18.0715682,Enskede-Årsta-Vantör::Årsta
265,swe,12040,59.28866660000001,18.051617,Enskede-Årsta-Vantör::Årsta
266,swe,12044,59.29468079999999,18.0303658,Enskede-Årsta-Vantör::Årsta
267,swe,12047,59.2901978,18.0668989,Enskede-Årsta-Vantör::Enskede Gård
268,swe,12048,59.287521,18.0751986,Enskede-Årsta-Vantör::Enskede Gård
269,swe,12050,59.2948111,18.0632525,Enskede-Årsta-Vantör::Årsta
270,swe,12051,59.3016082,18.0599406,Enskede-Årsta-Vantör::Årsta
271,swe,12052,59.29488430000001,18.054947,Enskede-Årsta-Vantör::Årsta
272,swe,12053,59.300929,18.0542907,Enskede-Årsta-Vantör::Årsta
273,swe,12054,59.298572,18.0499684,Enskede-Årsta-Vantör::Årsta
274,swe,12055,59.2963017,18.0476402,Enskede-Årsta-Vantör::Årsta
275,swe,12056,59.2925275,18.0506254,Enskede-Årsta-Vantör::Årsta
276,swe,12057,59.2965475,18.0433218,Enskede-Årsta-Vantör::Årsta
277,swe,12058,59.29982289999999,18.0438233,Enskede-Årsta-Vantör::Årsta
278,swe,12059,59.2983042,18.0388388,Enskede-Årsta-Vantör::Årsta
279,swe,12061,59.3032408,18.0926803,Södermalm::Stockholm
280,swe,12062,59.30420359999999,18.0898573,Södermalm::Stockholm
281,swe,12063,59.304752,18.0925179,Södermalm::Stockholm
282,swe,12064,59.30459020000001,18.0988337,Södermalm::Stockholm
